"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"14867",62696,"Skoda"," Fabia",2017,10904,"Manual","Diesel",1.4,24.8810572687225,39811
"14868",62700,"Skoda"," Fabia",2015,7586.4,"Manual","Petrol",1.2,21.1806167400881,68666
"14869",62704,"Skoda"," Fabia",2019,15532.4,"Manual","Petrol",1,21.6387665198238,2422
"14870",62708,"Skoda"," Fabia",2017,8920.4,"Manual","Petrol",1.2,21.1806167400881,80208
"14871",62709,"Skoda"," Fabia",2016,12644,"Manual","Petrol",1.2,20.7577092511013,24131
"14872",62720,"Skoda"," Fabia",2016,8120,"Manual","Petrol",1,20.7224669603524,46542
"14873",62724,"Skoda"," Fabia",2016,9628,"Manual","Petrol",1.2,21.1806167400881,52755
"14874",62734,"Skoda"," Fabia",2016,9396,"Manual","Petrol",1.2,21.1806167400881,38045
"14875",62739,"Skoda"," Fabia",2017,10092,"Manual","Petrol",1.2,21.1806167400881,15797
"14876",62743,"Skoda"," Fabia",2015,6960,"Manual","Petrol",1,21.1806167400881,37219
"14877",62745,"Skoda"," Fabia",2015,7656,"Manual","Petrol",1.2,21.1806167400881,64845
"14878",62757,"Skoda"," Fabia",2016,11600,"Manual","Petrol",1.2,20.7577092511013,30398
"14879",62758,"Skoda"," Fabia",2016,10092,"Manual","Petrol",1.2,21.1806167400881,47021
"14880",62765,"Skoda"," Fabia",2015,12528,"Automatic","Petrol",1.2,21.1806167400881,51899
"14881",62770,"Skoda"," Fabia",2015,10208,"Automatic","Diesel",1.4,27.6651982378855,51925
"14882",62776,"Skoda"," Fabia",2016,10440,"Manual","Petrol",1.2,21.1806167400881,48181
"14883",62785,"Skoda"," Fabia",2018,9976,"Manual","Petrol",1,22.625550660793,29654
"14884",62786,"Skoda"," Fabia",2015,7772,"Manual","Petrol",1,20.7224669603524,23726
"14885",62788,"Skoda"," Fabia",2016,9035.24,"Manual","Petrol",1.2,21.1806167400881,37050
"14886",62789,"Skoda"," Fabia",2017,12174.2,"Manual","Petrol",1,22.625550660793,13880
"14887",62795,"Skoda"," Fabia",2017,8768.44,"Manual","Petrol",1,22.625550660793,41576
"14888",62800,"Skoda"," Fabia",2017,12180,"Automatic","Petrol",1.2,21.1806167400881,30896
"14889",62802,"Skoda"," Fabia",2018,11020,"Manual","Petrol",1,20.3348017621145,15550
"14890",62816,"Skoda"," Fabia",2016,8694.2,"Manual","Petrol",1.2,21.1806167400881,70950
"14891",62818,"Skoda"," Fabia",2016,10086.2,"Manual","Petrol",1.2,21.1806167400881,79483
"14892",62824,"Skoda"," Fabia",2010,4286.2,"Manual","Diesel",1.6,23.7180616740088,118400
"14893",62825,"Skoda"," Fabia",2016,9425,"Manual","Diesel",1.4,27.6651982378855,58872
"14894",62827,"Skoda"," Fabia",2018,13686.84,"Manual","Petrol",1,22.625550660793,11600
